3443	0.197	0.579	0.776	1	...
3444	0.145	0.697	0.842	1	...
3445	0.539	0.908	1.447	1	...
3446	0.395	0.737	1.132	1	...
3447	0.211	0.434	0.645	1	...
3448	0.092	0.184	0.276	1	...
3449	0.579	0.895	1.474	1	...
3450	0.539	0.921	1.461	1	...
3451	3.455	1.848	5.303	1	...
3452	0.652	0.682	1.333	1	...
3453	0.152	0.5	0.652	1	...
3454	0.197	0.394	0.591	1	...
3455	0.303	0.606	0.909	1	...
3456	0.242	0.742	0.985	1	...
3457	0.152	0.366	0.518	1	...
3458	0.29	0.534	0.823	1	...
3459	0.198	0.518	0.716	1	...
3460	0.381	0.777	1.159	1	...
3461	0.488	0.793	1.28	1	...
3462	0.945	1.265	2.21	1	...
3463	0.046	0.244	0.29	1	...
3464	0.076	0.168	0.244	1	...
3465	0.091	0.32	0.412	1	...
3466	0.29	0.854	1.143	1	...
3467	0.213	0.655	0.869	1	...
3468	0.67	0.712	1.382	1	...
3469	0.266	0.673	0.939	2	KFD#5
3470	0.624	0.801	1.425	2	...
3471	0.492	0.706	1.198	2	...
3472	0.538	0.783	1.321	1	...
3473	0.391	0.359	0.75	1	...
3474	0.31	0.571	0.881	1	...
3475	0.212	0.457	0.669	1	...
3476	0.196	0.375	0.571	1	...
3477	0.375	0.571	0.946	1	...
3478	0.587	0.767	1.354	1	...
3479	0.12	0.07	0.19	1	NEW
3480	0.421	0.454	0.875	1	...
3481	0.162	0.389	0.551	1	...
3482	0.551	0.713	1.264	1	...
3483	0.891	0.843	1.734	1	...
3484	0.664	0.648	1.313	1	...
3485	0.243	0.292	0.535	1	...
3486	0.292	0.357	0.648	1	...
3487	0.113	0.34	0.454	1	...
3488	0.292	0.583	0.875	1	...
3489	0.34	0.746	1.086	1	...
3490	0.276	0.632	0.908	1	...
3491	0.357	0.567	0.924	1	...
3492	0.667	0.813	1.48	1	...
3493	0.374	0.846	1.22	1	...
3494	0.39	0.634	1.024	1	...
3495	0.26	0.504	0.764	1	...
3496	0.813	0.78	1.593	1	...
3497	0.341	0.553	0.894	1	...
3498	0.211	0.374	0.585	1	...
3499	0.341	0.52	0.862	1	...
3500	0.179	0.358	0.537	1	...
3501	0.341	0.488	0.829	1	...
3502	0.358	0.683	1.041	1	...
3503	0.553	0.797	1.351	1	...
3504	0.114	0.146	0.26	1	...
3505	0.146	0.374	0.521	1	...
3506	0.391	0.602	0.993	1	...
3507	0.325	0.521	0.846	1	...
3508	0.635	0.781	1.416	1	...
3509	0.244	0.423	0.667	1	...
3510	0.553	0.765	1.318	1	...
3511	0.423	0.472	0.895	1	...
3512	0.814	0.684	1.497	1	...
3513	0.537	0.863	1.4	1	...
3514	0.276	0.438	0.713	1	...
3515	0.421	0.778	1.199	1	...
3516	1.199	1.151	2.35	1	...
3517	1.199	1.07	2.269	1	...
3518	0.259	0.567	0.827	1	...
3519	0.097	0.113	0.211	1	NEW
3520	0.146	0.373	0.519	1	...
3521	0.292	0.405	0.697	1	...
3522	0.519	0.389	0.908	1	...
3523	0.299	0.437	0.736	2	KFD#4
3524	0.178	0.323	0.502	2	...
3525	0.38	0.574	0.954	2	...
3526	0.258	0.606	0.864	2	...
3527	0.177	0.468	0.645	1	...
3528	0.161	0.468	0.629	1	...
3529	0.161	0.677	0.839	1	...
3530	0.468	0.871	1.339	1	...
3531	0.258	0.79	1.048	1	...
3532	0.226	0.484	0.71	1	...
3533	0.29	0.581	0.871	1	...
3534	0.516	0.742	1.258	1	...
3535	0.177	0.306	0.484	1	...
3536	0.29	0.355	0.645	1	...
3537	0.608	1.002	1.609	1	...
3538	0.279	0.591	0.87	1	...
3539	0.443	0.69	1.133	1	...
3540	0.919	0.788	1.708	1	...
3541	0.476	0.673	1.149	1	...
3542	0.115	0.213	0.328	1	...
3543	0.608	0.887	1.494	1	...
3544	0.164	0.328	0.493	1	...
3545	0.213	0.493	0.706	1	...
3546	0.558	0.919	1.478	1	...
3547	0.213	0.558	0.772	1	...
3548	0.393	0.623	1.016	1	...
3549	0.098	0.262	0.361	1	...
3550	0.361	0.672	1.033	1	...
3551	0.377	0.803	1.18	1	...
3552	0.459	0.705	1.164	1	...
3553	0.393	0.721	1.115	1	...
3554	0.18	0.426	0.607	1	...
3555	0.295	0.721	1.016	1	...
3556	1.492	1.033	2.525	1	...
3557	0.082	0.213	0.295	1	...
3558	0.328	0.672	1	1	...
3559	0.558	0.837	1.396	1	...
3560	0.115	0.312	0.427	1	...
3561	0.493	0.854	1.346	1	...
3562	0.624	0.772	1.396	1	...
3563	0.131	0.361	0.493	1	...
3564	0.115	0.345	0.46	1	...
3565	0.263	0.69	0.952	1	...
3566	0.197	0.608	0.805	1	...
3567	0.082	0.312	0.394	1	...
3568	0.164	0.427	0.591	1	...
3569	0.952	0.788	1.741	1	...
3570	1.034	0.952	1.987	1	...
3571	0.345	0.839	1.184	1	...
3572	0.576	0.641	1.217	1	...
3573	0.872	1.168	2.039	1	...
3574	0.625	0.839	1.464	1	...
3575	0.28	0.345	0.625	1	...
3576	0.28	0.444	0.724	1	...
3577	0.164	0.247	0.411	1	...
3578	0.395	0.543	0.937	1	...
3579	0.494	0.453	0.946	2	KFD#3
3580	0.247	0.214	0.461	2	...
3581	0.354	0.411	0.765	2	...
3582	0.313	0.461	0.774	1	...
3583	0.247	0.428	0.675	1	...
3584	0.198	0.329	0.527	1	...
3585	0.494	0.577	1.071	1	...
3586	0.297	0.329	0.626	1	falwtr
3587	0.395	0.478	0.873	1	...
3588	0.313	0.494	0.807	1	...
3589	0.313	0.494	0.807	1	...
3590	0.132	0.313	0.445	1	...
3591	0.04	0.11	0.15	1	NEW
3592	0.311	0.494	0.805	1	...
3593	0.148	0.428	0.577	1	...
3594	0.196	0.507	0.704	1	...
3595	0.115	0.344	0.458	1	...
3596	0.147	0.393	0.54	1	...
3597	0.704	0.736	1.44	1	...
3598	0.524	0.704	1.227	1	...
3599	0.147	0.245	0.393	1	...
3600	0.54	0.671	1.211	1	...
3601	0.196	0.409	0.606	1	...
3602	0.327	0.475	0.802	1	...
3603	0.262	0.426	0.687	1	...
3604	0.196	0.442	0.638	1	...
3605	0.556	0.638	1.195	1	...
3606	0.098	0.229	0.327	1	...
3607	0.589	0.671	1.26	1	...
3608	0.75	0.962	1.713	1	...
3609	0.359	0.571	0.93	1	...
3610	0.114	0.343	0.457	1	...
3611	0.424	0.294	0.718	1	...
3612	0.179	0.506	0.685	1	...
3613	0.392	0.392	0.783	1	...
3614	0.489	0.701	1.191	1	...
3615	0.196	0.555	0.75	1	...
3616	0.212	0.44	0.653	1	...
3617	0.506	0.685	1.191	1	...
3618	0.31	0.424	0.734	1	...
3619	0.147	0.261	0.408	1	...
3620	0.082	0.147	0.228	1	...
3621	0.114	0.424	0.538	1	...
3622	0.326	0.604	0.93	1	...
3623	0.228	0.555	0.783	1	...
3624	0.277	0.604	0.881	1	...
3625	0.261	0.62	0.881	1	...
3626	0.343	0.669	1.011	1	...
3627	0.553	0.605	1.158	2	KFC#11
3628	0.279	0.571	0.85	2	...
3629	0.522	0.648	1.17	2	...
3630	0.209	0.47	0.679	2	...
3631	0.223	0.321	0.544	2	...
3632	0.441	0.743	1.184	2	...
3633	0.382	0.558	0.941	2	...
3634	0.518	0.595	1.112	2	...
3635	0.196	0.116	0.177	3	NEW-KFD#2
3636	0.378	0.564	0.942	3	...
3637	0.134	0.334	0.469	3	...
3638	0.242	0.485	0.728	3	...
3639	0.262	0.496	0.758	3	...
3640	0.252	0.489	0.741	3	...
3641	0.656	0.895	1.551	3	...
3642	0.411	0.546	0.957	3	...
3643	0.264	0.516	0.781	3	...
3644	0.514	0.632	1.146	3	...
3645	0.318	0.471	0.789	3	...
3646	0.162	0.25	0.411	3	...
3647	0.386	0.589	0.974	3	...
3648	0.199	0.313	0.512	2	...
3649	0.076	0.164	0.24	2	NEW
3650	0.523	0.581	1.105	2	...
3651	0.589	0.606	1.195	2	...
