5767	8.6
5768	2.9
5769	3.2
5770	8.4
5771	8.5
5772	6
5773	1.6
5774	10.7
5775	4.6
5776	3.7
5777	2.8
5778	6.7
5779	7.7
5780	5
5781	3.2
5782	3.9
5783	0
5784	2.4
5785	6.4
5786	2.8
5787	2.6
5788	2.4
5789	2.8
5790	11.3
5791	1.3
5792	1.5
5793	1.9
5794	0
5795	1.3
5796	9.9
5797	1.2
5798	2
5799	2.2
5800	2.5
5801	3.3
5802	2.6
5803	2.6
5804	2.5
5805	1.5
5806	1.5
5807	0
5808	1.2
5809	4.5
5810	3.3
5811	2.2
5812	1.6
5813	2.1
5814	1.8
5815	2.7
5816	2
5817	1.9
5818	2.7
5819	4.1
5820	1.2
5821	0
5822	2.8
5823	1.9
5824	1.3
5825	0.8
5826	0
5827	0.8
5828	0.7
5829	1.1
5830	1
5831	0.8
5832	0.7
5833	1.7
5834	1.6
5835	0.8
5836	1.3
5837	1
5838	2.2
5839	1.6
5840	3
5841	1.5
5842	1.9
5843	2.3
5844	2.2
5845	1.2
5846	0
5847	2.1
5848	0.7
5849	1.3
5850	1.6
5851	0.7
5852	2.2
5853	1.7
5854	2.2
5855	1.2
5856	1
5857	2.4
5858	1.1
5859	0
5860	1.9
5861	1.5
5862	1.9
5863	1.5
5864	1.7
5865	1.8
5866	0
5867	2.3
5868	3
5869	0
5870	0
5871	1.4
5872	1.9
5873	1.3
5874	3.5
5875	3.2
5876	1.1
5877	8.3
5878	6.4
5879	3.4
5880	2
5881	3.1
5882	3.7
5883	0
5884	3
5885	14.4
5886	2.6
5887	3.5
5888	1.7
5889	0
5890	1.3
5891	3.2
5892	2.7
5893	5.1
5894	8.5
5895	1.5
5896	1.7
5897	1.7
5898	2.1
5899	1.4
5900	2.1
5901	3.2
5902	2.4
5903	1.9
5904	1.9
5905	3
5906	3.1
5907	3
5908	1.7
5909	1.4
5910	2.5
5911	2
5912	3.7
5913	3.2
5914	3
5915	3.2
5916	3.5
5917	1.8
5918	2.2
5919	1.2
5920	1.4
5921	1.5
5922	5.3
5923	1.6
5924	1.9
5925	1.4
5926	2.5
5927	2
5928	1.5
5929	1.6
5930	1.4
5931	8.5
5932	2.5
5933	4.6
5934	4.2
5935	0.8
5936	3.5
5937	4.2
5938	1.1
5939	0
5940	1.3
5941	1.5
5942	1.3
5943	1.1
5944	1.8
5945	4.4
5946	1.1
5947	1.9
5948	2
5949	3.2
5950	4.6
5951	2.2
5952	1.9
5953	1.8
5954	1.7
5955	1.2
5956	2.2
5957	1.5
5958	2
5959	2.6
5960	2.2
5961	2.6
5962	2
5963	0
5964	1
5965	1.8
5966	0
5967	1.3
5968	1.6
5969	3.3
5970	1.7
5971	2
5972	1.4
5973	1.6
5974	1.8
5975	2.5
5976	1.9
5977	1
5978	1.2
5979	4.4
5980	2.8
5981	2.5
5982	2.9
5983	3.2
5984	1.2
5985	1.3
5986	1.5
5987	2.5
5988	5
5989	10.2
5990	2.8
5991	2.1
5992	1.7
5993	0
5994	0
5995	2.3
5996	1.2
5997	1.4
5998	1.8
5999	1.2
6000	1.6
6001	2.9
6002	1.1
6003	5.2
6004	2.9
6005	2.8
6006	4.8
6007	1.2
6008	1.3
6009	0
6010	0
6011	0.4
6012	0.6
6013	1.3
6014	0.6
6015	1
6016	1.1
6017	1.5
6018	3.8
6019	2.5
6020	2
6021	3.5
6022	0
6023	0
6024	0.9
6025	1.5
6026	1.2
6027	1.1
6028	1.9
6029	2.1
6030	0
6031	0
6032	1.9
6033	2.3
6034	0.8
6035	1.3
6036	2.2
6037	2
6038	1.2
6039	2.5
